"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8419624217119","54.2150220913108","57.9043280182232","60.5110685979776","56.6228939544103","57.4526515151515","56.1954308979869","53.5447527644482","58.7836510119866","69.2080507547583","71.8260473588342","66.8911478187209","73.0442213202307","67.4175711652672","69.5816653322658","71.7364253393665","78.0078636959371","76.6016260162602","76.3590369853454","75.7720382913557","102.569158396008","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","35.8824388702449","34.8743114327009","35.5312472743374","36.6780198122818","36.0909360229161","37.5092644609611","36.614853854411","37.8540828186188","39.0419053618975","37.7494252349304","39.1524732727372","37.6645336574047","37.3233135729657","38.7580671444582","37.4692581659175","37.5759938226045","36.9860915311095","36.4309685684458","41.472243871291","37.8156247387027","36.9363004702394","35.6271592203428","37.5677190532651","37.8725491992185","38.2310204410858","36.1519114499154","35.9607020023765","38.4551932758241","36.3088838554708","37.0255238302096","37.6189425430203","37.984615451314","39.5679668571137","39.9588047053198","40.5401349618411","36.0017811458913","39.7829310793667","41.7399714655074","42.8787010286446","43.5765066619198","45.4231903855444","47.2784957198049","49.6243418355359","49.3260888095651","50.15774407915","49.656493664976","48.473417147027","47.13895442473","44.6954460517215","44.4972782716625","46.3986740461466","44.7142378026077","45.3417785787558","46.9141203759991","49.8812875052298","54.2904062780747","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","13.4504123894373","14.5344127789343","17.1951216017252","14.464495500823","16.6888879617284","15.5739518818132","11.2079367747921","9.34262901059774","13.2904527518499","15.2870658843754","13.2033209985099","14.0364241712093","18.3537613659268","18.1839750816708","16.5922684859783","16.9945543576289","19.5465216541456","21.6490588241804","22.5257231624509","24.5423892365334","28.8571609170968","31.6095525701839","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.2094633939287","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2732958492365","11.4392813037813","11.8092056411848","11.841330474019","12.9540747258217","12.5540636544926","12.6856454800712","13.1225277546852","14.1015811262081","14.4898698698555","12.8577396009709","13.0701043250706","13.6248512120242","14.1014390291614","15.4524255382992","18.3177555862917","20.4901523527574","22.787314920746","21.8188347074928","22.1907348665372","25.3955853080643","12.9609148561447","13.2582639427378","14.304585848767","15.4741333943871","15.4903504082578","16.605450988994","16.5508119976154","16.9675936686301","16.2502828767873","16.5356968609444","17.2136789706908","17.6647463179459","17.204245703547","17.2255406786236","14.9129176211663","13.1692026914677","13.4229355108576","13.7281825258266","14.5656536198162","15.4754668805224","15.8648670287728","15.2861724215868","15.0777117062585","14.3084464040881","13.7358030327341","13.9919493693518","19.0724118450928","21.8176643589849","23.5359814913972","21.8688534027989","22.8820153451023","24.4430814274763","24.6279195328238","23.2925152059709","23.78457423735","27.1419879006803","25.58550198531","26.171377228157","25.9761499722314","28.835777121313","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.508367118858","13.553648470679","13.2998188926253","16.2733257364948","20.4468711883162","31.5205041653311","45.6081681117929","34.7747524653276","34.9788715890949","31.5177312017641","33.3315474060548","35.6755532005176","40.9446599162018","39.1623080560863","32.1865210912766","30.6464405237236","33.6927339334333","37.5457631659884","",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233706883918","59.9252695246949","62.2390091672556","66.0222149082269","65.4631703175784","69.8224660901217","66.8522792044418","65.4423141253721","68.2203666875648","71.4176324482325","76.3656780122259","78.4658756659569","75.4805325555486","76.1817094662639","79.0774778263132","82.2797364957128","84.2887701256967","85.106288419788","85.6508075295366","84.7921679249979","85.8049588483096","81.703420189663","77.2350496202491","77.9394365407651","88.6205305748275","",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","22.0737099751937","22.1968741293578","22.0086225020157","23.1469929090029","24.0934758470056","29.8676967544491","31.4787526722437","33.6568827416767","32.2626640109815","32.5451454315724","31.1953651598087","29.4282304451195","31.9693030366736","32.2175312376741","21.469147075317","25.7142094982844","27.0128656629722","29.8744793818947","34.6228425459842","30.7679036364341","28.2549695929961","31.2403959923714","38.6367559048278","46.0807879549833","50.2930981553443","55.2558606679803","61.7627105468794","62.216658670878","63.2975495876256","58.2728169346965","51.0311763208631","51.5532715583913","53.7925587094845","55.8104497705807","55.5934878208684","54.1963061744352","52.0291627065771","52.6260537763801","58.0643149127219","57.799035324624","54.8837479447361","61.9630986403026","65.7164406353002","64.8154421525744","60.9272556447483","57.0375802081685","57.0295716800215","60.9635536421675","58.5200333580173","72.5324825122153","67.2778829286596","61.7132338164797","60.4015399842891","65.137108095548","69.5828856430227","80.3097136497506","84.9504706746617","81.7912219403355","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","72.7147810718815","63.143009567001","60.1534597066408","70.9553810235672","74.0022718295063","87.2764379134796","90.3667774468121","88.9808295892354","83.4278792396838","92.0588982126911","115.206585783272","",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735341","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.3131020043081","24.3288225735623","27.094656616163","27.1268661534912","25.7525433121082","27.64080836914","28.3138847636905","28.4289395061119","","","","",
